B01DJH742M,"A rectilinear cabinet with a slanted roof and base, featuring three drawers on each side, two doors with slanted tops and bottoms, and a cylindrical shape between them."
B07B4N273D,"3D model of a two-seater chair with a curved backrest, slanted seat, and armrests."
B07DBK7KH8,"3D model of a table lamp featuring a spherical base, cylindrical body, and spherical shade."
B0842GQ5WJ,A cylinder with a spherical base and a spherical top.
B07K7LVRSM,"3D model of a trestle table and TV stand with a curved triangular top, slanted triangular base, available in 3ds Max, OBJ, FBX, 3DS, and C4D formats."
B07HKF28KS,"A 3D lamp with a spherical shade, metal arm, swivel joint, and spherical base."
B07KSRJG2T,"3D model of a rectangular bed frame with a tufted upholstered headboard, slatted base, and slanted top and bottom, accompanied by a chair with a slanted backrest and seat."
B07K7LVGHH,"3D coffee table model with a rectangular top and slanted base, available for preview download in 3ds Max."
B073P46SHL,"A floor lamp with a spherical base, curved arm, slender metal pole, and spherical shade."
B084HV7BC3,"A 3D skateboard with a concave bottom and convex top, resembling a truncated ellipse."
B07S6WNZ7Y,"3D model of a cabinet with a door, drawer, and shelf, featuring a pillar and wall."
B07QJ1WXCM,"3D wingback chair model with a curved backrest, slanted back, slender seat, and armrests."
B01D7PG5EO,3D model of a swivel office chair with backrest and armrests.
B072555T67,"Three-seater sofa with a curved backrest, curved seat, and curved armrests."
B083VMSRRJ,"A two-seater sofa with a backrest, armrests, and a footrest, featuring a triangular shape, slanted sides, and a convex top."
B07B4W2FFY,"3D model of a bedside table featuring two drawers, a shelf, slanted top, legs, and slatted backrest, seat, and base."
B07HZ4NFSL,Two-seater sofa with backrest and armrests.
B07K7TRF3G,A 3D rectangular table with a square base and a rectangular top.
B07JY3BQNG,3D model of a chair with a backrest and cushion.
B07BMTXJ12,A cuboid with a hemispherical surface and a cylinder with a hemisphere on top.
B07HZ9K9PG,"3D model of a chair with a curved backrest, cushioned seat, slanted armrest, and curved seat, resembling a two-seater sofa."
B084ZB8L8W,"Three-drawer chest of drawers with a slanted top, featuring two drawers on the top and one on the bottom, and a rectangular door with a slanted top and bottom."
B07HPJ9V3J,"A 3D object featuring a slender, curved backrest, slanted seat, and slender curved armrests."
B07DBB7FN6,"3D model of a bookcase featuring a cabinet with a base, top, drawer, and door, resembling a rectangular storage box."
B07QHL81NZ,A sphere is a 3D object with a spherical surface and volume.
B07B7BRXCK,A wooden stool with a seat and backrest.
B0723H8D37,"3D model of a wing chair featuring a wing-shaped back, slanted seat, backrest, and armrests."
